unit_id,script,digit_glyph,ambiguous,note
1,digit,western,0,
2,digit,western,0,
3,digit,western,0,
4,digit,western,0,
5,digit,western,0,
6,digit,western,0,
7,digit,western,0,
8,urdu,na,0,
9,urdu,na,0,
10,urdu,na,0,
11,urdu,na,0,
12,urdu,na,0,
13,urdu,na,0,
14,urdu,na,0,
15,urdu,na,0,
16,urdu,na,0,
17,digit,western,0,
18,urdu,na,0,
19,urdu,na,0,
20,urdu,na,0,
21,urdu,na,0,
22,urdu,na,0,
23,urdu,na,0,
24,urdu,na,0,
25,urdu,na,0,
26,urdu,na,0,
27,urdu,na,0,
28,urdu,na,0,
29,urdu,na,0,
30,urdu,na,0,
31,urdu,na,0,
32,urdu,na,0,
33,urdu,na,0,
34,urdu,na,0,
35,urdu,na,0,
36,urdu,na,0,
37,urdu,na,0,
38,urdu,na,0,
39,urdu,na,0,
40,urdu,na,0,
41,urdu,na,0,
42,urdu,na,0,
43,urdu,na,0,
44,urdu,na,0,
45,urdu,na,0,
46,urdu,na,0,
47,urdu,na,0,
48,urdu,na,0,
49,urdu,na,0,
50,urdu,na,0,
51,urdu,na,0,
52,urdu,na,0,
53,urdu,na,0,
54,urdu,na,0,
55,urdu,na,0,
56,urdu,na,0,
57,urdu,na,0,
58,urdu,na,0,
59,urdu,na,0,
60,urdu,na,0,
61,urdu,na,0,
62,urdu,na,0,
63,urdu,na,0,
64,urdu,na,0,
65,urdu,na,0,
66,urdu,na,0,
67,urdu,na,0,
68,urdu,na,0,
69,urdu,na,0,
70,urdu,na,0,
71,urdu,na,0,
72,urdu,na,0,
73,urdu,na,0,
74,urdu,na,0,
75,urdu,na,0,
76,urdu,na,0,
77,urdu,na,0,
78,urdu,na,0,
79,urdu,na,0,
80,urdu,na,0,
81,urdu,na,0,
82,urdu,na,0,
83,digit,western,0,
84,digit,western,0,
85,digit,western,0,
86,digit,western,0,
87,digit,western,0,
88,digit,western,0,
89,digit,western,0,
90,digit,western,0,
91,digit,western,0,
92,digit,western,0,
93,digit,western,0,
94,digit,western,0,
95,urdu,na,0,
96,urdu,na,0,
97,urdu,na,0,
98,urdu,na,0,
99,urdu,na,0,
100,urdu,na,0,
101,urdu,na,0,
102,urdu,na,0,
103,urdu,na,0,
104,urdu,na,0,
105,urdu,na,0,
106,digit,western,0,
107,urdu,na,0,
108,urdu,na,0,
109,urdu,na,0,
110,urdu,na,0,
111,urdu,na,0,
112,urdu,na,0,
113,urdu,na,0,
114,urdu,na,0,
115,english,na,0,
116,english,na,0,
117,urdu,na,0,
118,english,na,0,
119,english,na,0,
120,english,na,0,
121,english,na,0,
122,english,na,0,
123,english,na,0,
124,english,na,0,
125,english,na,0,
126,english,na,0,
127,english,na,0,
128,urdu,na,0,
129,english,na,0,
130,english,na,0,
131,english,na,0,
132,english,na,0,
133,english,na,0,
134,english,na,0,
135,english,na,0,
136,english,na,0,
137,english,na,0,
138,english,na,0,
139,english,na,0,
140,english,na,0,
141,english,na,0,
142,urdu,na,0,
143,urdu,na,0,
144,english,na,0,
145,digit,western,0,
146,english,na,0,
147,urdu,na,0,
148,urdu,na,0,
149,english,na,0,
150,english,na,0,
151,english,na,0,
152,english,na,0,
153,english,na,0,
154,english,na,0,
155,english,na,0,
156,english,na,0,
157,english,na,0,
158,english,na,0,
159,english,na,0,
160,english,na,0,
161,english,na,0,
162,english,na,0,
